lead_organisation_clean,n_projects,total_funding,mean_funding,median_funding,funding_share_%,total_funding_million,cumulative_share_%,rank
TFP HYDROGEN PRODUCTS LIMITED,1,118972.0,118972.0,118972.0,0.011568120743752804,0.118972,98.1464696268086,480
DEAKIN BIO-HYBRID MATERIALS LTD,2,114384.0,57192.0,57192.0,0.01112201125603857,0.114384,98.15759163806463,481
MAGNETIC SYSTEMS TECHNOLOGY LIMITED,1,112316.0,112316.0,112316.0,0.010920931391044447,0.112316,98.16851256945567,482
AQUAVITRUM LTD,1,112309.0,112309.0,112309.0,0.010920250753203558,0.112309,98.17943282020887,483
Birmingham City University,1,111907.0,111907.0,111907.0,0.010881162694341064,0.111907,98.19031398290322,484
UNIVERSITY OF ABERTAY DUNDEE,1,111892.0,111892.0,111892.0,0.010879704184682015,0.111892,98.20119368708791,485
University of Plymouth,2,110967.0,55483.5,55483.5,0.010789762755707371,0.110967,98.21198344984361,486
MICROBIOTECH LTD,1,107511.0,107511.0,107511.0,0.010453722130262648,0.107511,98.22243717197388,487
WIKKI LIMITED,1,105867.0,105867.0,105867.0,0.010293869471630957,0.105867,98.2327310414455,488
THE UNIVERSITY OF ULSTER,1,105677.0,105677.0,105677.0,0.010275395015949679,0.105677,98.24300643646146,489
UNIVERSITY OF EAST ANGLIA,1,102480.0,102480.0,102480.0,0.009964537990617854,0.10248,98.25297097445207,490
RECYCLING OF USED PLASTICS LIMITED,1,101295.0,101295.0,101295.0,0.00984931572755304,0.101295,98.26282029017962,491
STEEL CONSTRUCTION INSTITUTE(THE),1,100824.0,100824.0,100824.0,0.009803518524258925,0.100824,98.27262380870388,492
MINDFULLY WIRED COMMUNICATIONS LTD.,1,100794.0,100794.0,100794.0,0.009800601504940828,0.100794,98.28242441020882,493
AVGO BIOTECH LTD,1,100424.0,100424.0,100424.0,0.009764624933350969,0.100424,98.29218903514217,494
LANCASTER UNIVERSITY,1,100229.0,100229.0,100229.0,0.009745664307783343,0.100229,98.30193469944996,495
PEARWALK ENGINEERING LIMITED,1,100000.0,100000.0,100000.0,0.009723397726988539,0.1,98.31165809717695,496
CHITEXO LIMITED,1,99999.0,99999.0,99999.0,0.00972330049301127,0.099999,98.32138139766995,497
JONAS SEAFOOD LIMITED,1,99997.0,99997.0,99997.0,0.00972310602505673,0.099997,98.33110450369502,498
CIRCULARITI LTD,1,99988.0,99988.0,99988.0,0.0097222309192613,0.099988,98.34082673461428,499
MADEBY PLANET EARTH LTD,2,99980.0,49990.0,49990.0,0.009721453047443141,0.09998,98.35054818766173,500
REVIVE ECO LTD.,1,99977.0,99977.0,99977.0,0.009721161345511332,0.099977,98.36026934900724,501
DFS COMPOSITES LIMITED,1,99972.0,99972.0,99972.0,0.009720675175624983,0.099972,98.36999002418287,502
INTELLIGENT ENERGY LIMITED,1,99972.0,99972.0,99972.0,0.009720675175624983,0.099972,98.3797106993585,503
CAPSHALL TECHNOLOGIES (UK) LTD,1,99960.0,99960.0,99960.0,0.009719508367897743,0.09996,98.38943020772639,504
DRAUGHT DROP LTD,1,99899.0,99899.0,99899.0,0.009713577095284281,0.099899,98.39914378482167,505
INDUSTRIAL TOMOGRAPHY SYSTEMS LTD,1,99824.0,99824.0,99824.0,0.009706284546989038,0.099824,98.40885006936867,506
VISTRY HOMES LIMITED,1,99823.0,99823.0,99823.0,0.009706187313011769,0.099823,98.41855625668168,507
NOT USUAL LIMITED,1,99780.0,99780.0,99780.0,0.009702006251989163,0.09978,98.42825826293367,508
CLEOBURY PROJECT MANAGEMENT LIMITED,1,99558.0,99558.0,99558.0,0.009680420309035249,0.099558,98.4379386832427,509
